Item name: IRF

Real time: 0
Live time: 0
Time calibration: 55E-03ns/ch

Comment: 


Chan   Data
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	10
114	24
115	17
116	20
117	22
118	15
119	9
120	14
121	18
122	15
123	25
124	13
125	25
126	17
127	17
128	14
129	20
130	21
131	17
132	28
133	17
134	19
135	23
136	12
137	12
138	18
139	21
140	15
141	11
142	22
143	6
144	11
145	18
146	29
147	16
148	13
149	18
150	17
151	20
152	11
153	22
154	16
155	13
156	13
157	19
158	10
159	12
160	15
161	15
162	12
163	17
164	18
165	17
166	11
167	11
168	14
169	20
170	15
171	12
172	12
173	8
174	14
175	24
176	18
177	14
178	9
179	19
180	18
181	10
182	14
183	20
184	17
185	14
186	11
187	14
188	13
189	17
190	10
191	14
192	13
193	9
194	19
195	10
196	16
197	21
198	15
199	12
200	15
201	25
202	11
203	16
204	12
205	12
206	16
207	11
208	21
209	19
210	20
211	10
212	16
213	14
214	18
215	20
216	10
217	12
218	18
219	18
220	14
221	14
222	16
223	10
224	17
225	21
226	11
227	11
228	16
229	8
230	12
231	19
232	25
233	12
234	16
235	13
236	13
237	21
238	21
239	8
240	17
241	11
242	21
243	20
244	17
245	12
246	14
247	5
248	9
249	9
250	18
251	15
252	12
253	9
254	13
255	11
256	14
257	15
258	16
259	19
260	21
261	19
262	14
263	10
264	15
265	16
266	19
267	15
268	10
