# Time Tags Distribution
# 2024-08-09 14:21:21
# Unit Time Diff: s
# Unit Count: 1
# Time Diff ; Count
 1.4211843E-009 ;  3.1800000E+002
 1.4311927E-009 ;  4.1800000E+002
 1.4412010E-009 ;  2.9600000E+002
 1.4512093E-009 ;  4.6900000E+002
 1.4612177E-009 ;  2.9300000E+002
 1.4712260E-009 ;  3.4900000E+002
 1.4812344E-009 ;  3.5400000E+002
 1.4912427E-009 ;  2.6200000E+002
 1.5012510E-009 ;  2.8400000E+002
 1.5112594E-009 ;  3.4700000E+002
 1.5212677E-009 ;  3.3400000E+002
 1.5312761E-009 ;  3.0000000E+002
 1.5412844E-009 ;  3.0900000E+002
 1.5512927E-009 ;  2.7000000E+002
 1.5613011E-009 ;  2.9500000E+002
 1.5713094E-009 ;  3.1100000E+002
 1.5813178E-009 ;  3.2700000E+002
 1.5913261E-009 ;  2.7100000E+002
 1.6013344E-009 ;  2.5700000E+002
 1.6113428E-009 ;  2.2600000E+002
 1.6213511E-009 ;  3.2800000E+002
 1.6313595E-009 ;  2.0900000E+002
 1.6413678E-009 ;  3.2500000E+002
 1.6513761E-009 ;  2.4300000E+002
 1.6613845E-009 ;  2.3400000E+002
 1.6713928E-009 ;  2.7800000E+002
 1.6814012E-009 ;  2.1600000E+002
 1.6914095E-009 ;  2.6600000E+002
 1.7014178E-009 ;  1.8000000E+002
 1.7114262E-009 ;  2.1600000E+002
 1.7214345E-009 ;  1.9900000E+002
 1.7314429E-009 ;  2.4900000E+002
 1.7414512E-009 ;  2.0200000E+002
 1.7514595E-009 ;  2.3300000E+002
 1.7614679E-009 ;  2.0900000E+002
 1.7714762E-009 ;  2.3300000E+002
 1.7814846E-009 ;  1.9900000E+002
 1.7914929E-009 ;  2.1400000E+002
 1.8015013E-009 ;  1.5600000E+002
 1.8115096E-009 ;  2.4000000E+002
 1.8215179E-009 ;  1.9800000E+002
 1.8315263E-009 ;  1.9200000E+002
 1.8415346E-009 ;  2.0800000E+002
 1.8515430E-009 ;  1.6400000E+002
 1.8615513E-009 ;  2.1800000E+002
 1.8715596E-009 ;  1.5200000E+002
 1.8815680E-009 ;  1.9100000E+002
 1.8915763E-009 ;  2.2400000E+002
 1.9015847E-009 ;  1.6400000E+002
 1.9115930E-009 ;  1.9700000E+002
 1.9216013E-009 ;  1.5500000E+002
 1.9316097E-009 ;  1.4800000E+002
 1.9416180E-009 ;  2.2200000E+002
 1.9516264E-009 ;  1.6000000E+002
 1.9616347E-009 ;  1.4700000E+002
 1.9716430E-009 ;  1.9300000E+002
 1.9816514E-009 ;  1.6600000E+002
 1.9916597E-009 ;  1.5200000E+002
 2.0016681E-009 ;  1.5900000E+002
 2.0116764E-009 ;  1.8600000E+002
 2.0216847E-009 ;  1.4900000E+002
 2.0316931E-009 ;  1.5300000E+002
 2.0417014E-009 ;  1.5000000E+002
 2.0517098E-009 ;  1.4800000E+002
 2.0617181E-009 ;  1.4400000E+002
 2.0717264E-009 ;  1.8100000E+002
 2.0817348E-009 ;  1.1900000E+002
 2.0917431E-009 ;  1.4400000E+002
 2.1017515E-009 ;  1.4000000E+002
 2.1117598E-009 ;  1.1900000E+002
 2.1217681E-009 ;  1.2400000E+002
 2.1317765E-009 ;  1.5200000E+002
 2.1417848E-009 ;  1.2000000E+002
 2.1517932E-009 ;  1.2400000E+002
 2.1618015E-009 ;  1.2000000E+002
 2.1718098E-009 ;  1.2800000E+002
 2.1818182E-009 ;  1.3700000E+002
 2.1918265E-009 ;  1.2400000E+002
 2.2018349E-009 ;  1.3000000E+002
 2.2118432E-009 ;  1.2200000E+002
 2.2218515E-009 ;  1.1300000E+002
 2.2318599E-009 ;  1.3100000E+002
 2.2418682E-009 ;  1.3000000E+002
 2.2518766E-009 ;  9.3000000E+001
 2.2618849E-009 ;  1.2900000E+002
 2.2718932E-009 ;  1.1500000E+002
 2.2819016E-009 ;  1.1400000E+002
 2.2919099E-009 ;  1.1700000E+002
 2.3019183E-009 ;  9.9000000E+001
 2.3119266E-009 ;  1.3300000E+002
 2.3219349E-009 ;  1.0000000E+002
 2.3319433E-009 ;  1.1900000E+002
 2.3419516E-009 ;  1.1800000E+002
 2.3519600E-009 ;  1.3500000E+002
 2.3619683E-009 ;  1.1200000E+002
 2.3719766E-009 ;  1.0800000E+002
 2.3819850E-009 ;  1.0800000E+002
 2.3919933E-009 ;  1.2100000E+002
 2.4020017E-009 ;  1.0800000E+002
 2.4120100E-009 ;  9.5000000E+001
 2.4220183E-009 ;  1.1600000E+002
 2.4320267E-009 ;  8.5000000E+001
 2.4420350E-009 ;  1.2100000E+002
 2.4520434E-009 ;  9.9000000E+001
 2.4620517E-009 ;  1.0100000E+002
