# Time Tags Distribution
# 2024-08-09 13:21:48
# Unit Time Diff: s
# Unit Count: 1
# Time Diff ; Count
 1.2410342E-009 ;  1.6121900E+005
 1.2510425E-009 ;  1.9670000E+005
 1.2610509E-009 ;  1.5749800E+005
 1.2710592E-009 ;  1.7160400E+005
 1.2810676E-009 ;  1.6088800E+005
 1.2910759E-009 ;  1.8526100E+005
 1.3010842E-009 ;  1.6988800E+005
 1.3110926E-009 ;  1.6061000E+005
 1.3211009E-009 ;  1.5790900E+005
 1.3311093E-009 ;  1.7845600E+005
 1.3411176E-009 ;  1.6396000E+005
 1.3511259E-009 ;  1.6322400E+005
 1.3611343E-009 ;  1.6148100E+005
 1.3711426E-009 ;  1.5534000E+005
 1.3811510E-009 ;  1.7896400E+005
 1.3911593E-009 ;  1.4368100E+005
 1.4011676E-009 ;  1.6525900E+005
 1.4111760E-009 ;  1.5960900E+005
 1.4211843E-009 ;  1.3981000E+005
 1.4311927E-009 ;  1.7417500E+005
 1.4412010E-009 ;  1.3319100E+005
 1.4512093E-009 ;  1.9474700E+005
 1.4612177E-009 ;  1.2546700E+005
 1.4712260E-009 ;  1.6070000E+005
 1.4812344E-009 ;  1.5161100E+005
 1.4912427E-009 ;  1.3523400E+005
 1.5012510E-009 ;  1.3983500E+005
 1.5112594E-009 ;  1.5693500E+005
 1.5212677E-009 ;  1.5991200E+005
 1.5312761E-009 ;  1.3976800E+005
 1.5412844E-009 ;  1.3522800E+005
 1.5512927E-009 ;  1.3014900E+005
 1.5613011E-009 ;  1.4477900E+005
 1.5713094E-009 ;  1.4308200E+005
 1.5813178E-009 ;  1.4751500E+005
 1.5913261E-009 ;  1.2545200E+005
 1.6013344E-009 ;  1.3910700E+005
 1.6113428E-009 ;  1.2039000E+005
 1.6213511E-009 ;  1.5670500E+005
 1.6313595E-009 ;  1.0212500E+005
 1.6413678E-009 ;  1.5993200E+005
 1.6513761E-009 ;  1.1723300E+005
 1.6613845E-009 ;  1.2015000E+005
 1.6713928E-009 ;  1.3956100E+005
 1.6814012E-009 ;  1.1704800E+005
 1.6914095E-009 ;  1.4365100E+005
 1.7014178E-009 ;  1.0746000E+005
 1.7114262E-009 ;  1.2072100E+005
 1.7214345E-009 ;  1.1160900E+005
 1.7314429E-009 ;  1.2491500E+005
 1.7414512E-009 ;  1.3061600E+005
 1.7514595E-009 ;  1.2142100E+005
 1.7614679E-009 ;  1.1051600E+005
 1.7714762E-009 ;  1.1090800E+005
 1.7814846E-009 ;  1.0922600E+005
 1.7914929E-009 ;  1.3154400E+005
 1.8015013E-009 ;  8.9319000E+004
 1.8115096E-009 ;  1.3537900E+005
 1.8215179E-009 ;  1.0726800E+005
 1.8315263E-009 ;  1.0435100E+005
 1.8415346E-009 ;  1.1801300E+005
 1.8515430E-009 ;  8.7809000E+004
 1.8615513E-009 ;  1.2229800E+005
 1.8715596E-009 ;  9.2253000E+004
 1.8815680E-009 ;  1.0626900E+005
 1.8915763E-009 ;  1.1241700E+005
 1.9015847E-009 ;  9.1916000E+004
 1.9115930E-009 ;  1.1777000E+005
 1.9216013E-009 ;  8.5244000E+004
 1.9316097E-009 ;  9.5492000E+004
 1.9416180E-009 ;  1.1543300E+005
 1.9516264E-009 ;  9.3783000E+004
 1.9616347E-009 ;  8.9738000E+004
 1.9716430E-009 ;  1.0531600E+005
 1.9816514E-009 ;  9.7589000E+004
 1.9916597E-009 ;  8.7616000E+004
 2.0016681E-009 ;  9.5021000E+004
 2.0116764E-009 ;  1.0115500E+005
 2.0216847E-009 ;  8.3203000E+004
 2.0316931E-009 ;  9.1019000E+004
 2.0417014E-009 ;  9.6128000E+004
 2.0517098E-009 ;  8.7182000E+004
 2.0617181E-009 ;  8.0543000E+004
 2.0717264E-009 ;  1.0006900E+005
 2.0817348E-009 ;  7.4717000E+004
 2.0917431E-009 ;  8.4800000E+004
 2.1017515E-009 ;  9.1976000E+004
 2.1117598E-009 ;  8.4272000E+004
 2.1217681E-009 ;  7.9664000E+004
 2.1317765E-009 ;  9.4486000E+004
 2.1417848E-009 ;  7.1162000E+004
 2.1517932E-009 ;  8.2345000E+004
 2.1618015E-009 ;  8.5505000E+004
 2.1718098E-009 ;  7.9869000E+004
 2.1818182E-009 ;  8.1712000E+004
 2.1918265E-009 ;  7.8454000E+004
 2.2018349E-009 ;  7.8542000E+004
 2.2118432E-009 ;  7.5860000E+004
 2.2218515E-009 ;  7.4646000E+004
 2.2318599E-009 ;  8.2838000E+004
 2.2418682E-009 ;  7.7325000E+004
 2.2518766E-009 ;  6.5809000E+004
 2.2618849E-009 ;  8.3100000E+004
 2.2718932E-009 ;  6.6616000E+004
 2.2819016E-009 ;  7.5075000E+004
 2.2919099E-009 ;  7.3884000E+004
 2.3019183E-009 ;  6.7996000E+004
 2.3119266E-009 ;  7.7189000E+004
 2.3219349E-009 ;  6.9101000E+004
 2.3319433E-009 ;  7.6608000E+004
 2.3419516E-009 ;  6.7483000E+004
 2.3519600E-009 ;  7.0024000E+004
 2.3619683E-009 ;  6.8350000E+004
 2.3719766E-009 ;  6.9107000E+004
 2.3819850E-009 ;  6.2312000E+004
 2.3919933E-009 ;  7.5047000E+004
 2.4020017E-009 ;  6.5225000E+004
 2.4120100E-009 ;  5.9839000E+004
 2.4220183E-009 ;  7.4025000E+004
 2.4320267E-009 ;  5.8297000E+004
 2.4420350E-009 ;  6.8429000E+004
 2.4520434E-009 ;  6.6700000E+004
 2.4620517E-009 ;  6.4006000E+004
 2.4720601E-009 ;  5.8769000E+004
 2.4820684E-009 ;  6.4800000E+004
 2.4920767E-009 ;  6.7076000E+004
 2.5020851E-009 ;  5.8707000E+004
 2.5120934E-009 ;  6.3070000E+004
 2.5221018E-009 ;  6.3964000E+004
 2.5321101E-009 ;  5.9363000E+004
 2.5421184E-009 ;  5.9036000E+004
 2.5521268E-009 ;  6.4451000E+004
 2.5621351E-009 ;  5.1153000E+004
 2.5721435E-009 ;  6.6850000E+004
 2.5821518E-009 ;  5.6282000E+004
 2.5921601E-009 ;  5.9975000E+004
 2.6021685E-009 ;  5.5268000E+004
 2.6121768E-009 ;  6.1201000E+004
 2.6221852E-009 ;  5.8674000E+004
 2.6321935E-009 ;  5.2000000E+004
 2.6422018E-009 ;  5.8883000E+004
 2.6522102E-009 ;  5.6326000E+004
 2.6622185E-009 ;  5.8792000E+004
 2.6722269E-009 ;  5.3520000E+004
 2.6822352E-009 ;  5.6287000E+004
 2.6922435E-009 ;  5.6476000E+004
 2.7022519E-009 ;  5.3693000E+004
 2.7122602E-009 ;  4.7761000E+004
 2.7222686E-009 ;  5.9223000E+004
 2.7322769E-009 ;  5.4548000E+004
 2.7422852E-009 ;  5.4140000E+004
 2.7522936E-009 ;  4.5759000E+004
 2.7623019E-009 ;  5.7807000E+004
 2.7723103E-009 ;  5.2585000E+004
 2.7823186E-009 ;  5.2860000E+004
 2.7923269E-009 ;  4.5028000E+004
 2.8023353E-009 ;  6.0107000E+004
 2.8123436E-009 ;  5.0542000E+004
 2.8223520E-009 ;  4.6484000E+004
 2.8323603E-009 ;  5.3948000E+004
 2.8423686E-009 ;  5.0819000E+004
 2.8523770E-009 ;  4.5176000E+004
 2.8623853E-009 ;  5.5047000E+004
 2.8723937E-009 ;  4.7614000E+004
 2.8824020E-009 ;  4.9642000E+004
 2.8924103E-009 ;  4.5513000E+004
 2.9024187E-009 ;  4.2737000E+004
 2.9124270E-009 ;  5.7255000E+004
 2.9224354E-009 ;  4.2673000E+004
 2.9324437E-009 ;  4.5133000E+004
 2.9424520E-009 ;  4.7282000E+004
 2.9524604E-009 ;  4.6684000E+004
 2.9624687E-009 ;  5.0853000E+004
 2.9724771E-009 ;  4.2509000E+004
 2.9824854E-009 ;  4.9925000E+004
 2.9924937E-009 ;  4.3443000E+004
 3.0025021E-009 ;  4.4258000E+004
 3.0125104E-009 ;  4.6911000E+004
 3.0225188E-009 ;  4.1298000E+004
 3.0325271E-009 ;  4.9292000E+004
 3.0425354E-009 ;  4.3069000E+004
